ZINC_ID,SMILES
ZINC8o0000003YHQ,O=C(O)C1CN(CCn2cccc2)C[C@H]1c1cccc(F)c1
ZINC8i0000003WAL,O=C(O)C1CN(CCn2cccn2)C[C@H]1c1cccc(F)c1
ZINC8i0000003WAM,O=C(O)C1CN(CCn2ccnc2)C[C@H]1c1cccc(F)c1
ZINC9k0000003YHS,O=C(O)C1CN(CCn2cnc(Br)n2)C[C@H]1c1cccc(F)c1
ZINC8c0000003YHT,O=C(O)C1CN(CCn2cncn2)C[C@H]1c1cccc(F)c1
ZINC8c0000003WAN,O=C(O)C1CN(CCn2cnnc2)C[C@H]1c1cccc(F)c1
ZINC8l0000003WAy,O=C(O)C1CN(C[C@@H]2CCCCN2)C[C@H]1c1cccc(F)c1
ZINC8p0000003WaS,O=C(O)C1CN(C[C@@H]2CCCCO2)C[C@H]1c1cccc(F)c1
ZINC8j0000003WAA,O=C(O)C1CN(C[C@@H]2CCCNC2)C[C@H]1c1cccc(F)c1
ZINC7l0000003WAB,O=C(O)C1CN(C[C@@H]2CCCO2)C[C@H]1c1cccc(F)c1
ZINC8o0000003WAC,O=C(O)C1CN(C[C@@H]2CCCOC2)C[C@H]1c1cccc(F)c1
ZINC6h0000003WAF,O=C(O)C1CN(C[C@@H]2CCO2)C[C@H]1c1cccc(F)c1
ZINC7k0000003YHK,O=C(O)C1CN(C[C@@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINC890000003YHN,O=C(O)C1CN(C[C@@H]2CNCCO2)C[C@H]1c1cccc(F)c1
ZINC8l0000003WAz,O=C(O)C1CN(C[C@H]2CCCCN2)C[C@H]1c1cccc(F)c1
ZINC8p0000003VKY,O=C(O)C1CN(C[C@H]2CCCCO2)C[C@H]1c1cccc(F)c1
ZINC8j0000003YHH,O=C(O)C1CN(C[C@H]2CCCNC2)C[C@H]1c1cccc(F)c1
ZINC7l0000003YHI,O=C(O)C1CN(C[C@H]2CCCO2)C[C@H]1c1cccc(F)c1
ZINC8o0000003WAD,O=C(O)C1CN(C[C@H]2CCCOC2)C[C@H]1c1cccc(F)c1
ZINC6h0000003YHJ,O=C(O)C1CN(C[C@H]2CCO2)C[C@H]1c1cccc(F)c1
ZINC7k0000003YHL,O=C(O)C1CN(C[C@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINC890000003WAH,O=C(O)C1CN(C[C@H]2CNCCO2)C[C@H]1c1cccc(F)c1
ZINC9p0000003WAE,O=C(O)C1CN(C[C@H]2C[C@@H]3CC[C@H]2O3)C[C@H]1c1cccc(F)c1
ZINC8u0000000BlL,O=C(O)C1CN(C[C@H]2C[C@@H]3C[C@@H]3C2)C[C@H]1c1cccc(F)c1
ZINC8t0000000Bjx,O=C(O)C1CN(Cc2cc(Br)no2)C[C@H]1c1cccc(F)c1
ZINC9r0000000BJF,O=C(O)C1CN(Cc2ccc(Br)nn2)C[C@H]1c1cccc(F)c1
ZINC8p0000003VKV,O=C(O)C1CN(Cc2ccccn2)C[C@H]1c1cccc(F)c1
ZINC8p0000003VKW,O=C(O)C1CN(Cc2cccnc2)C[C@H]1c1cccc(F)c1
ZINC8j0000003WAe,O=C(O)C1CN(Cc2cccnn2)C[C@H]1c1cccc(F)c1
ZINC8p0000003VKX,O=C(O)C1CN(Cc2ccncc2)C[C@H]1c1cccc(F)c1
ZINC8j0000003WAf,O=C(O)C1CN(Cc2ccncn2)C[C@H]1c1cccc(F)c1
ZINC7l0000003WAg,O=C(O)C1CN(Cc2ccno2)C[C@H]1c1cccc(F)c1
ZINCas0000000D9A,O=C(O)C1CN(Cc2cn3ccsc3n2)C[C@H]1c1cccc(F)c1
ZINC9r0000000BJG,O=C(O)C1CN(Cc2cnc(Br)cn2)C[C@H]1c1cccc(F)c1
ZINC7j0000003YHu,O=C(O)C1CN(Cc2c[nH]cn2)C[C@H]1c1cccc(F)c1
ZINC8j0000003WAh,O=C(O)C1CN(Cc2cnccn2)C[C@H]1c1cccc(F)c1
ZINC8j0000003WAi,O=C(O)C1CN(Cc2cncnc2)C[C@H]1c1cccc(F)c1
ZINC7q0000000AZE,O=C(O)C1CN(Cc2cncs2)C[C@H]1c1cccc(F)c1
ZINC7l0000003WAj,O=C(O)C1CN(Cc2cnoc2)C[C@H]1c1cccc(F)c1
ZINC7q0000000AZF,O=C(O)C1CN(Cc2cnsc2)C[C@H]1c1cccc(F)c1
ZINC7l0000003WAm,O=C(O)C1CN(Cc2cocn2)C[C@H]1c1cccc(F)c1
ZINC7q0000000AZG,O=C(O)C1CN(Cc2cscn2)C[C@H]1c1cccc(F)c1
ZINC9r0000000BJH,O=C(O)C1CN(Cc2ncc(Br)cn2)C[C@H]1c1cccc(F)c1
ZINC8j0000003WAn,O=C(O)C1CN(Cc2ncccn2)C[C@H]1c1cccc(F)c1
ZINC7q0000000AZH,O=C(O)C1CN(Cc2nccs2)C[C@H]1c1cccc(F)c1
ZINC7f0000003WaR,O=C(O)C1CN(Cc2ncon2)C[C@H]1c1cccc(F)c1
ZINC7h0000003YHZ,O=C(O)C1CN([C@H]2CCCNC2)C[C@H]1c1cccc(F)c1
ZINC7h0000003YHZ,O=C(O)C1CN([C@@H]2CCCNC2)C[C@H]1c1cccc(F)c1
ZINC7l0000003WAT,O=C(O)C1CN([C@H]2CCCOC2)C[C@H]1c1cccc(F)c1
ZINC7l0000003WAT,O=C(O)C1CN([C@@H]2CCCOC2)C[C@H]1c1cccc(F)c1
ZINC6d0000003WaW,O=C(O)C1CN([C@H]2CCNC2)C[C@H]1c1cccc(F)c1
ZINC6d0000003WaW,O=C(O)C1CN([C@@H]2CCNC2)C[C@H]1c1cccc(F)c1
ZINC6h0000003WAU,O=C(O)C1CN([C@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINC6h0000003WAU,O=C(O)C1CN([C@@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINCah0000004SXl,O=C(O)C1CN([C@H]2CN=C3SCCN3C2)C[C@H]1c1cccc(F)c1
ZINCah0000004SXl,O=C(O)C1CN([C@@H]2CN=C3SCCN3C2)C[C@H]1c1cccc(F)c1
ZINCao0000004zIF,O=C(O)C1CN([C@H]2C[C@@H]2CN2CCCC2)C[C@H]1c1cccc(F)c1
ZINCao0000004zIF,O=C(O)C1CN([C@@H]2C[C@@H]2CN2CCCC2)C[C@H]1c1cccc(F)c1
ZINC9l0000004Tjd,O=C(O)C1CN([C@H]2C[C@@H]2CNC2CC2)C[C@H]1c1cccc(F)c1
ZINC9l0000004Tjd,O=C(O)C1CN([C@@H]2C[C@@H]2CNC2CC2)C[C@H]1c1cccc(F)c1
ZINCan0000004jJ9,O=C(O)C1CN([C@H]2C[C@@H]2CNCC2CC2)C[C@H]1c1cccc(F)c1
ZINCan0000004jJ9,O=C(O)C1CN([C@@H]2C[C@@H]2CNCC2CC2)C[C@H]1c1cccc(F)c1
ZINCak0000005yQx,O=C(O)C1CN([C@H]2C[C@@H]2CSC2CNC2)C[C@H]1c1cccc(F)c1
ZINCak0000005yQx,O=C(O)C1CN([C@@H]2C[C@@H]2CSC2CNC2)C[C@H]1c1cccc(F)c1
ZINCap0000004zIJ,O=C(O)C1CN([C@H]2C[C@@H]2CSC2COC2)C[C@H]1c1cccc(F)c1
ZINCap0000004zIJ,O=C(O)C1CN([C@@H]2C[C@@H]2CSC2COC2)C[C@H]1c1cccc(F)c1
ZINCam0000003UE9,O=C(O)C1CN([C@H]2C[C@@H]2Cn2cccn2)C[C@H]1c1cccc(F)c1
ZINCam0000003UE9,O=C(O)C1CN([C@@H]2C[C@@H]2Cn2cccn2)C[C@H]1c1cccc(F)c1
ZINCam0000003Sj2,O=C(O)C1CN([C@H]2C[C@@H]2Cn2ccnc2)C[C@H]1c1cccc(F)c1
ZINCam0000003Sj2,O=C(O)C1CN([C@@H]2C[C@@H]2Cn2ccnc2)C[C@H]1c1cccc(F)c1
